0	1	2	3	4	5	6
AC074117.10	0	0	0	0	0	0	0
AC074183.4	0	0	0	0	0	0	0
AC074289.1	0	0	0	0	0	0	0
AC074366.3	0	0	0	0	0	0	0
AC078883.3	0	0	0	0	0	0	0
AC079305.10	0	0	0	0	0	0	0
AC079807.2	0	0	0	0	0	0	0
AC079922.3	0	0	0	0	0	0	0
AC083843.1	0	0	0	0	0	0	0
AC083843.2	0	0	0	0	0	0	0
AC083949.1	0	0	0	0	0	0	0
AC084219.4	0	0	0	0	0	0	0
AC090498.1	0	0	0	0	0	0	0
AC091633.3	0	0	0	0	0	0	0
AC091729.9	0	0	0	0	0	0	0
AC092301.3	0	0	0	0	0	0	0
AC092580.4	0	0	0	0	0	0	0
AC092652.1	0	0	0	0	0	0	0
AC092669.3	0	0	0	0	0	0	0
AC092835.2	0	0	0	0	0	0	0
AC093323.3	0	0	0	0	0	0	0
AC093375.1	0	0	0	0	0	0	0
AC093382.1	0	0	0	0	0	0	0
AC093388.3	0	0	0	0	0	0	0
AC093495.4	0	0	0	0	0	0	0
AC093609.1	0	0	0	0	0	0	0
AC093627.10	0	0	0	0	0	0	0
AC093627.9	0	0	0	0	0	0	0
AC093642.3	0	0	0	0	0	0	0
AC093673.5	0	0	0	0	0	0	0
AC093818.1	0	0	0	0	0	0	0
AC093901.1	0	0	0	0	0	0	0
AC096558.1	0	0	0	0	0	0	0
AC096772.6	0	0	0	0	0	0	0
AC097495.2	0	0	0	0	0	0	0
AC097662.2	0	0	0	0	0	0	0
AC097713.4	0	0	0	0	0	0	0
AC097721.2	0	0	0	0	0	0	0
AC097724.3	0	0	0	0	0	0	0
AC099850.1	0	0	0	0	0	0	0
AC100830.3	0	0	0	0	0	0	0
AC100830.4	0	0	0	0	0	0	0
AC100830.5	0	0	0	0	0	0	0
AC103563.8	0	0	0	0	0	0	0
AC104532.4	0	0	0	0	0	0	0
AC104653.1	0	0	0	0	0	0	0
AC104820.2	0	0	0	0	0	0	0
AC105760.2	0	0	0	0	0	0	0
AC107081.5	0	0	0	0	0	0	0
AC107218.3	0	0	0	0	0	0	0
AC108004.3	0	0	0	0	0	0	0
AC108488.4	0	0	0	0	0	0	0
AC109333.10	0	0	0	0	0	0	0
AC109826.1	0	0	0	0	0	0	0
AC112721.2	0	0	0	0	0	0	0
AC113189.5	0	0	0	0	0	0	0
AC113404.1	0	0	0	0	0	0	0
AC114271.2	0	0	0	0	0	0	0
AC114730.7	0	0	0	0	0	0	0
AC114730.8	0	0	0	0	0	0	0
AC116366.6	0	0	0	0	0	0	0
AC116614.1	0	0	0	0	0	0	0
AC124944.3	0	0	0	0	0	0	0
AC129492.6	0	0	0	0	0	0	0
AC131056.3	0	0	0	0	0	0	0
AC133528.2	0	0	0	0	0	0	0
AC133644.2	0	0	0	0	0	0	0
AC137932.4	0	0	0	0	0	0	0
AC137934.1	0	0	0	0	0	0	0
AC138969.4	0	0	0	0	0	0	0
AC142472.6	0	0	0	0	0	0	0
AC142528.1	0	0	0	0	0	0	0
AC144450.2	0	0	0	0	0	0	0
AC144652.1	0	0	0	0	0	0	0
AC145124.2	0	0	0	0	0	0	0
